Stop_id,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,Max_speed,Track,Is_turnaround
1,SouthStation_7,19,100,10,30,1,2640,2000,0,2640,10,7,1
2,BackBay_7,20,100,134,30,1,369.6,359.6,6811.2,7180.8,10,7,0
3,Lansdowne_7,21,100,94,30,1,739.2,729.2,12724.8,13464,10,7,0
4,BostonLanding_7,22,100,107,30,1,739.2,729.2,24024,24763.2,10,7,0
8,WellesleyFarms_7,23,100,75,30,1,369.6,359.6,66264,66633.6,10,7,0
9,WellesleyHills_7,27,100,80,30,1,369.6,359.6,70910.4,71280,10,7,0
10,WellesleySquare_7,28,100,95,30,1,369.6,359.6,78038.4,78408,10,7,0
11,NatickCenter_7,29,100,85,30,1,316.8,306.8,92980.8,93297.6,10,7,0
12,WestNatick_7,30,100,78,30,1,369.6,359.6,105230.4,105600,10,7,0
13,Framingham_7,31,100,106,30,1,369.6,359.6,114206.4,114576,10,7,1
14,Ashland_7,32,100,63,30,1,369.6,359.6,132792,133161.6,10,7,0
15,Southborough_7,33,100,75,30,1,369.6,359.6,144672,145041.6,10,7,0
16,Westborough_7,34,100,73,30,1,369.6,359.6,178464,178833.6,10,7,0
17,Grafton_7,35,100,76,30,1,369.6,359.6,192456,192825.6,10,7,0
18,Worcester_7,,100,10,30,1,369.6,359.6,234062.4,234432,10,7,1
19,SouthStation_5,1,100,10,30,1,1000,990,0,1000,10,5,1
20,BackBay_5,2,100,134,30,1,369.6,359.6,6811.2,7180.8,10,5,0
21,Lansdowne_5,3,100,94,30,1,739.2,729.2,12724.8,13464,10,5,0
22,BostonLanding_5,4,100,107,30,1,739.2,729.2,24024,24763.2,10,5,0
23,Newtonville_5,,100,70,30,1,1372.8,1362.8,41923.2,43296,10,5,0
24,WestNewton_5,,100,70,30,1,844.8,834.8,49315.2,50160,10,5,0
25,Auburndale_5,,100,70,30,1,1056,1046,54384,55440,10,5,1
26,WellesleyFarms_5,8,100,75,30,1,369.6,359.6,66264,66633.6,10,5,0
27,WellesleyHills_5,9,100,80,30,1,369.6,359.6,70910.4,71280,10,5,0
28,WellesleySquare_5,10,100,95,30,1,369.6,359.6,78038.4,78408,10,5,0
29,NatickCenter_5,11,100,85,30,1,316.8,306.8,92980.8,93297.6,10,5,0
30,WestNatick_5,12,100,78,30,1,369.6,359.6,105230.4,105600,10,5,0
31,Framingham_5,13,100,106,30,1,369.6,359.6,114206.4,114576,10,5,1
32,Ashland_5,14,100,63,30,1,369.6,359.6,132792,133161.6,10,5,0
33,Southborough_5,15,100,75,30,1,369.6,359.6,144672,145041.6,10,5,0
34,Westborough_5,16,100,73,30,1,369.6,359.6,178464,178833.6,10,5,0
35,Grafton_5,17,100,76,30,1,369.6,359.6,192456,192825.6,10,5,0