From_station_id,To_station_id,Block_id_list
18,17,"88,87,86,85,84,83,82,81,80,79,78,77,76"
17,16,"75,74,73,72,71"
16,15,"70,69,68,67,66,65,64,63,62"
15,14,"61,60,59"
14,13,"58,57,56,55,54,53,52"
13,12,"51,50,49,48"
12,11,"47,46,45"
11,10,"44,43,42,41"
10,9,"40,39"
9,8,"38,37"
8,7,"36,35,34,33,32,31,30"
7,6,"29,28,27"
6,5,"26,25,24,23"
5,4,"22,21,20,19,18,17,16,15"
4,3,"14,13,12,11,10,9"
3,2,"8,7,6,5,4"
2,1,"3,2,1"
19,20,"183,182,181"
20,21,"180,179,178,177,176"
21,22,"175,174,173,172,171,170"
22,23,"169,168,167,166,165,164,163,162"
23,24,"161,160,159,158"
24,25,"157,156,155"
25,26,"154,153,152,151,150,149,148"
26,27,"147,146"
27,28,"145,144,143"
28,29,"142,141,140,139"
29,30,"138,137,136"
30,31,"135,134,133,132"
31,32,"131,130,129,128,127,126,125"
32,33,"124,123,122"
33,34,"121,120,119,118,117,116,115,114,113"
34,35,"112,111,110,109,108"
35,36,"107,106,105,104,103,102,101,100,99,98,97,96,95,94"