Stop_id,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,Max_speed,Track
1,SouthStation_7,19,100,10,30,1,2640,2000,0,2640,10,7
2,BackBay_7,20,100,10,30,1,369.6,359.6,6811.2,7180.8,10,7
3,Lansdowne_7,21,100,10,30,1,739.2,729.2,12724.8,13464,10,7
4,BostonLanding_7,22,100,10,30,1,739.2,729.2,24024,24763.2,10,7
8,WellesleyFarms_7,23,100,10,30,1,369.6,359.6,66264,66633.6,10,7
9,WellesleyHills_7,27,100,10,30,1,369.6,359.6,70910.4,71280,10,7
10,WellesleySquare_7,28,100,10,30,1,369.6,359.6,78038.4,78408,10,7
11,NatickCenter_7,29,100,10,30,1,316.8,306.8,92980.8,93297.6,10,7
12,WestNatick_7,30,100,10,30,1,369.6,359.6,105230.4,105600,10,7
13,Framingham_7,31,100,10,30,1,369.6,359.6,114206.4,114576,10,7
14,Ashland_7,32,100,10,30,1,369.6,359.6,132792,133161.6,10,7
15,Southborough_7,33,100,10,30,1,369.6,359.6,144672,145041.6,10,7
16,Westborough_7,34,100,10,30,1,369.6,359.6,178464,178833.6,10,7
17,Grafton_7,35,100,10,30,1,369.6,359.6,192456,192825.6,10,7
18,Worcester_7,36,100,10,30,1,369.6,359.6,234062.4,234432,10,7
19,SouthStation_5,1,100,10,30,1,1000,990,0,1000,10,5
20,BackBay_5,2,100,10,30,1,369.6,359.6,6811.2,7180.8,10,5
21,Lansdowne_5,3,100,10,30,1,739.2,729.2,12724.8,13464,10,5
22,BostonLanding_5,4,100,10,30,1,739.2,729.2,24024,24763.2,10,5
23,Newtonville_5,5,100,10,30,1,1372.8,1362.8,41923.2,43296,10,5
24,WestNewton_5,6,100,10,30,1,844.8,834.8,49315.2,50160,10,5
25,Auburndale_5,7,100,10,30,1,1056,1046,54384,55440,10,5
26,WellesleyFarms_5,8,100,10,30,1,369.6,359.6,66264,66633.6,10,5
27,WellesleyHills_5,9,100,10,30,1,369.6,359.6,70910.4,71280,10,5
28,WellesleySquare_5,10,100,10,30,1,369.6,359.6,78038.4,78408,10,5
29,NatickCenter_5,11,100,10,30,1,316.8,306.8,92980.8,93297.6,10,5
30,WestNatick_5,12,100,10,30,1,369.6,359.6,105230.4,105600,10,5
31,Framingham_5,13,100,10,30,1,369.6,359.6,114206.4,114576,10,5
32,Ashland_5,14,100,10,30,1,369.6,359.6,132792,133161.6,10,5
33,Southborough_5,15,100,10,30,1,369.6,359.6,144672,145041.6,10,5
34,Westborough_5,16,100,10,30,1,369.6,359.6,178464,178833.6,10,5
35,Grafton_5,17,100,10,30,1,369.6,359.6,192456,192825.6,10,5
5,Newtonville_7,23,100,10,30,1,1372.8,1362.8,41923.2,43296,10,7
6,WestNewton_7,24,100,10,30,1,844.8,834.8,49315.2,50160,10,7
7,Auburndale_7,25,100,10,30,1,1056,1046,54384,55440,10,7
36,Worcester_5,18,100,10,30,1,369.6,359.6,234062.4,234432,10,5