Vehicle_id,Route_id,Pullin_time,Pullout_time,If_turnaround,Vehicle_type,Opposite_route_id
2,22,17700,17710,0,1,12
101,16,19800,19810,0,1,61
102,61,23400,23410,0,1,16
3,11,21000,21010,0,1,21
4,22,21300,21310,0,1,12
5,13,22920,22930,0,1,23
103,16,24000,24010,0,1,61
6,31,24600,24610,0,1,41
7,22,24900,24910,0,1,12
8,13,26520,26530,0,1,23
9,31,28200,28210,0,1,41
105,16,33400,33410,0,1,61
106,61,37000,37010,0,1,16
10,13,30120,30130,0,1,23
11,31,31800,31810,0,1,41
12,22,32100,32110,0,1,12
13,11,34380,34390,0,1,21
14,11,37980,37990,0,1,21
15,22,39300,39310,0,1,12
107,16,41100,41110,0,1,61
108,61,46600,46610,0,1,16
16,21,42600,42610,0,1,11
17,12,44880,44890,0,1,21
109,16,47100,47110,0,1,61
110,61,50100,50110,0,1,16
18,21,49800,49810,0,1,11
19,12,52080,52090,0,1,21
20,21,53400,53410,0,1,11
111,16,54600,54610,0,1,61
112,61,57600,57610,0,1,16
21,12,55680,55690,0,1,21
22,41,56100,56110,0,1,31
23,23,57900,57910,0,1,13
113,16,59100,59110,0,1,61
114,61,62100,61110,0,1,16
24,41,59700,59710,0,1,31
25,23,61500,61510,0,1,13
26,12,62880,62890,0,1,21
27,41,63300,63310,0,1,31
28,31,64680,64690,0,1,41
29,23,65100,65110,0,1,13
30,12,66480,66490,0,1,21
31,21,66900,66910,0,1,11
115,16,68400,68410,0,1,61
116,61,71400,71410,0,1,16
32,12,70080,70090,0,1,21
33,21,70500,70510,0,1,11
34,31,72180,72190,0,1,41
35,12,73680,73690,0,1,21
36,21,74100,74110,0,1,11
117,16,75900,75910,0,1,61
118,61,78900,78910,0,1,61
37,21,77700,77710,0,1,11
38,11,78780,78790,0,1,21
119,16,80700,80710,0,1,61
120,61,83700,83710,0,1,16
39,11,82380,82390,0,1,21
40,21,82500,82510,0,1,11
121,16,83700,83710,0,1,61
122,61,86700,86710,0,1,16
41,12,85680,85690,0,1,21