Route_id,Event_list,Route_desc,Direc,Pair_id,Express_service,Vehicle_type,Route_type,,
1,"BS-1,SS-1",Run_Express,0,,0,1,CR,,
2,"BS-STA_SS_7,CP-78,SS-8,SS-6,SS-265,CP-8,CP-10,CP-165,CP-26,CP-11,CP-12,SS-176,CP-283,CP-291,CP-294,CP-299,CP-396,SS-82,CP-404,CP-416,CP-420,CP-16,CP-17,CP-18,CP-19,CP-20,SS-162, CP-21, CP-676,CP-1203,CP-684,CP-5,SS-85,CP-22,CP-23,CP-911,CP-917,CP-1247,SS-178,CP-935,SS-50,CP-1053,CP-1055,CP-1063,CP-1065,CP-1067,CP-1069,CP-1079,CP-1082,CP-1096, SS-333,CP-1205,CP-1145,CP-1206,CP-1207,CP-1183, CP-1208,SS-24",SB_ACELA_LI,0,,,,IC,,109098
3,"BS-STA_SS_7,CP-65,SS-8,SS-266,SS-312,SS-247,CP-6,SS-321,SS-260,SS-198,SS-54,CP-123,SS-222,CP-124,SS-58,SS-243,CP-134,CP-1209,SS-195,CP-7,CP-161,SS-196",SB_MBTA_Providence_LI,0,,,,CR,,
4,"BS-(MN_3 @ New Haven?),SS-199,CP-280,CP-290,SS-262,CP-295,CP-1210,SS-74,SS-202,SS-63,SS-79,SS-89,SS-141,SS-104,SS-168,SS-205,SS-81,SS-76,SS-206,CP-376,SS-82,SS-139,SS-154,CP-415,SS-259, CP-419,SS-208,CP-1211,SS-211,SS-212,SS-68,SS-71,SS-215,SS-73,CP-464,SS-216,SS-218,SS-125,SS-61,CP-559,SS-268",SB_MN_NHLGC_LI,0,,,,CR,,
5,"BS-(MN_3 @ New Haven?),SS-199,CP-280,CP-290,SS-262,CP-295,CP-1210,SS-74,SS-202,SS-63,SS-79,SS-89,SS-141,SS-104,SS-168,SS-205,SS-81,SS-76,SS-206,SS-376,SS-82,SS-139,SS-154,CP-415,SS-259,CP-419,SS-208,CP-1211,SS-211,SS-212,SS-68,SS-71,SS-215,SS-73,CP-1212,CP-1214,CP-17,CP-189,CP-19,CP-30,SS-225,SS-226,SS-227,SS-228,CP-35,CP-1216,CP-20,SS-162",SB_MN_NHLPSA_LI,0,,,,CR,,
6,"BS-(NJ_2 @ PSNY?),SS-231,CP-5,CP-1217,SS-85,SS-20,SS-234,SS-236,CP-751,SS-111,SS-108,CP-779,SS-238,SS-240,SS-242,SS-244,SS-245,SS-66,SS-159,SS-114",SB_NJT_NEC_LI,0,,,,CR,,
7,"BS-(PENN_4 @ Trenton?),SS-98,SS-121,SS-153,SS-180,SS-255,SS-137,SS-247,SS-170,SS-249,CP-880,CP-885,SS-112,CP-24,CP-911,CP-1218,SS-167",SB_SEP_TR_LI,0,,,,CR,,
8,"BS-(STA_TH_C @30th?),CP-1219,SS-84,CP-973,CP-982,CP-975,SS-106,SS-124,SS-142,SS-146,SS-251,SS-253,SS-119,SS-116,SS-128,SS-145,SS-150,SS-134,SS-269,SS-193,CP-1010,SS-189,CP-1029,CP-1035,SS-51, CP-1042,CP-1046,SS-62",SB_SEP_NWK_LI,0,,,,CR,,
9,"BS-(SO_3 @ Perryville),CP-1079,CP-1082,SS-45,CP-1087,SS-47,CP-1224,CP-1227,CP-1229,SS-254,CP-1231,CP-1233,CP-1235,SS-44,CP-1132,SS-271,CP-1237,SS-65,SS-38,SS-37,SS-33,SS-32,SS-31,CP-1208,SS-23",SB_MARC_PER_LI,0,,,,CR,,
10,"BS-(STA_DCU_1 @ Perryville), CP-1239, CP-1176, SS-39, Cp-1144, CP-1133, CP-1131, SS-43, CP-1099, CP-1080, CP-1068, CP-1066, CP-1064, CP-1062, CP-1059, CP-1056, CP-1051, SS-188, CP-1025, CP-1019, CP-1240, CP-1011, CP-1248, SS-187, CP-964, CP-1241, CP-918, CP-883, CP-881, CP-4, CP-671, SS-162, CP-637, CP-37, CP-38,Ê CP-1242, CP-421, CP-417, SS-83, CP-1249, CP-291, SS-177, CP-247, CP-208, CP-27, CP-164,CP-1244, CP-9, SS-265, CP-125, CP-122,SS-5,SS-9,CP-1245,SS-12",NB_ACELA_LI,1,,,,IC,,