Route_id,Event_list,Route_desc,Direc,Pair_id,Express_service,Vehicle_type
1,"BS-1,SS-1,SS-36",Run_Express,0,,0,1
2,"BS-1,SS-1,SS-2,SS-3,SS-4,SS-5,SS-6,SS-7,SS-8,SS-9,SS-10,SS-11,SS-12,SS-13,SS-14,SS-15,SS-16,SS-26,SS-35,SS-36",LocalFar_GC,0,,0,1
3,"BS-1-87,SS-16,SS-17,SS-18,SS-19,SS-20,SS-21,SS-22,SS-23,SS-24,SS-25,SS-26,SS-27,SS-28,CP-8,CP-5,SS-32,CP-6,SS-35,SS-36",LocalClose_GC,0,,0,1
4,"BS-1,SS-1,SS-5,SS-16,SS-36",Express_GC,0,,0,1
5,"BS-1,SS-1,SS-5,SS-16,CP-1,SS-41",Express_PS,0,,0,1
6,"BS-1-321,SS-16,SS-17,SS-18,SS-19,SS-20,SS-21,SS-22,SS-23,SS-24,SS-25,SS-26,CP-1,SS-37,SS-38,SS-39,SS-40,SS-41",Local_PS,0,,0,1
7,"BS-3,SS-42,SS-43,CP-2,SS-41",Acela_PS,0,,0,3
8,"BS-1-153,SS-35,SS-36",Hudson_GC,0,,0,1
9,"BS-1-138,SS-29,SS-30,SS-31,SS-32,SS-33,SS-34,SS-35,SS-36",Harlem_GC,0,,0,1
10,"BS-1-138,SS-35,SS-36",Harlem_X,0,,0,1
11,"BS-1,SS-1,SS-26",,,,,
12,"BS-1,SS-1,SS-2,SS-3,SS-4,SS-5,SS-6,SS-7,SS-8,SS-9,SS-10,SS-11,SS-12,SS-13,SS-14,SS-15,SS-16,CP-4,CP-3,SS-26,SS-35,SS-36",LocalFar_GC,0,,0,1
13,"BS-1,SS-1,SS-2,SS-3,SS-4,SS-5,SS-6,SS-7,SS-8,SS-9,SS-10,SS-11,SS-12,SS-13,SS-14,SS-15,SS-16,CP-4,SS-47,SS-44,SS-45",LocalFar_GC,0,,0,1
14,"BS-3-321,SS-46,CP-4,SS-47,SS-44,SS-45",Xpress_CR_GC,0,,0,1