Route_id,Event_list,Route_desc,Direc,Pair_id,Express_service
1,,WorcesterXpressInbound,1,20,1
2,"BS-1,SS-49,SS-50,SS-51,SS-52,SS-53,SS-54,SS-55,SS-56,SS-57,SS-58",AgBranch,0,19,1
21,,SkipNatickCenterThroughBL,1,22,0
22,,SkipBLThroughNatickCenter,0,21,0
23,,SkipWellesleySquareThroughBL,1,24,0
24,,SkipBLThroughWellesleySquare,0,23,0
25,,LocalFromAshland,1,26,0
26,,LocalToAshland,0,25,0
27,,LocalFromAshlandSkipNewton,1,28,0
28,,LocalToAshlandSkipNewton,0,27,0
29,,SkipWestNatickThroughNewtonville,1,30,0
30,,SkipNewtonvilleThroughWestNatick,0,29,0
31,,WorcesterToSouthStationSkipBostonLanding,1,32,0
32,,SouthStationToWorcesterSkipBostonLanding,0,31,0
33,,InboundNewtonSkipBostonLanding,1,34,0
34,,OutboundNewtonSkipBostonLanding,0,33,0
35,,FraminghamToSouthStationSkipBostonLanding,1,36,0
36,,SouthStationToFraminghamSkipBostonLanding,0,35,0
37,,FraminghamToSouthStationNewtonSkipBostonLanding,1,38,0
38,,SouthStationToFraminghamNewtonSkipBostonLanding,0,37,0
39,,LSL_IB,1,40,0
40,,LSL_OB,0,39,0